s,label
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1014>","Katok Drakdong Ritro"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1184>","Yarlung Sheldrak"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1340>","Mendong Monastery"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1359>","Drak Lhalubuk"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1377>","Ximing Temple"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1406>","Spituk"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_143>","Tangkya Lhakhang"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_149>","Gotsang Hermitage"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_1613>","Lerab Ling"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_345>","Ganden Rinchen Ling"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_494>","Wenne Tashikhyil"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_495>","Wenne Samdrub Deden Ling"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_508>","Tashi Chokhor Ling"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_510>","Nakchung Ritro"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_818>","Khacho Monastery"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_825>","Mugulung"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_851>","Tethong Manor House"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_893>","Nechung"
"<https://w3id.org/treasuryoflives/ns/data/tol/_Place_984>","Tashi Chopel Dratsang"
